time,force
26.34,804.99
26.36,1014.34
26.38,582.32
26.4,807.58
26.42,817.4
26.44,824.66
26.46,821.82
26.48,943.44
26.5,688.04
26.52,821.14
26.54,817.22
26.56,815.01
26.58,816.52
26.6,884.33
26.62,748.49
26.64,820.67
26.66,879.86
26.68,787.83
26.7,832.05
26.72,823.33
26.74,817.2
26.76,819.51
26.78,919.6
26.8,769.49
26.82,821.87
26.84,816.47
26.86,819.49
26.88,876.94
26.9,771.4
26.92,819.94
26.94,824.48
26.96,847.77
26.98,795.57
27,823.18
27.02,821.82
27.04,823
27.06,824.66
27.08,824.86
27.1,828.05
27.12,829.43
27.14,829.69
27.16,834.06
27.18,830.72
27.2,830.49
27.22,828.86
27.24,826.57
27.26,835.36
27.28,821.62
27.3,828.91
27.32,824.53
27.34,825.74
27.36,828.76
27.38,828.88
27.4,835.92
27.42,816.6
27.44,830.26
27.46,829.61
27.48,827.73
27.5,834.46
27.52,814.69
27.54,826.07
27.56,830.77
27.58,818.28
27.6,831.39
27.62,850.81
27.64,857.57
27.66,905.16
27.68,721.35
27.7,788.71
27.72,802.2
27.74,820.72
27.76,803.61
27.78,884.66
27.8,843.88
27.82,833.7
27.84,816.95
27.86,768.16
27.88,843.15
27.9,828.93
27.92,835.54
27.94,836.29
27.96,811.95
27.98,855.59
28,847.52
28.02,795.49
28.04,848.75
28.06,814.96
28.08,839.61
28.1,828.86
28.12,824.53
28.14,824.31
28.16,823.33
28.18,850.06
28.2,831.64
28.22,829.69
28.24,828.55
28.26,832.55
28.28,821.82
28.3,826.07
28.32,824.31
28.34,825.87
28.36,827.1
28.38,828.3
28.4,833.23
28.42,829.89
28.44,827.45
28.46,822.37
28.48,827.12
28.5,827.68
28.52,826.8
28.54,828.15
28.56,828.78
28.58,822.1
28.6,827.55
28.62,827.83
28.64,830.61
28.66,825.72
28.68,831.04
28.7,826.82
28.72,826.67
28.74,828.45
28.76,830.82
28.78,831.14
28.8,830.44
28.82,823.73
28.84,828.05
28.86,832.95
28.88,847.92
28.9,811.87
28.92,822.35
28.94,824.21
28.96,827.95
28.98,827.1
