Time (seconds),Value
206.15,85.01
206.33,84.76
206.49,85.4
206.66,84.27
206.83,84.2
207.72,82.75
207.88,84.27
208.07,85.61
208.25,85.71
208.43,87.82
208.61,88.42
208.79,86.22
208.98,93.84
209.15,102.12
209.33,96.05
209.51,88.55
209.68,84.99
209.85,83.01
210.02,82.9
210.19,83.6
210.35,84.23
210.53,83.77
210.72,85.06
210.89,84.61
211.06,83.79
211.23,81.63
211.4,81.28
211.57,82.23
211.76,84.97
211.94,84.93
212.11,85.12
212.27,84.81
212.45,85.21
212.75,84.96
212.93,85.14
213.1,84.91
213.28,84.98
213.45,85.28
213.62,84.76
213.82,81.11
213.99,83.57
214.16,84.14
214.32,84.67
214.49,85.41
214.67,84.22
214.84,84.38
215.02,83.85
215.2,84.47
215.39,85.96
215.56,85.42
215.74,86.3
215.92,88.4
216.09,90.25
216.31,93.07
216.49,90.7
216.65,88.8
216.83,86.06
217.0,84.13
217.17,83.35
217.35,83.2
217.52,81.35
217.68,83.35
217.86,83.91
218.03,82.24
218.21,78.79
218.39,85.58
218.55,84.83
218.73,84.64
218.89,85.66
219.06,85.17
219.34,84.84
219.52,84.91
219.68,85.26
219.85,82.36
220.03,84.02
220.24,82.51
220.41,83.73
220.58,82.8
220.75,83.61
220.93,85.32
221.1,81.82
221.27,83.34
221.44,85.49
221.62,86.04
221.79,86.5
221.96,86.46
222.13,92.08
222.29,93.69
222.47,88.39
222.64,86.4
222.8,90.3
222.99,86.15
223.16,85.68
223.33,84.97
223.49,84.51
223.65,83.53
223.83,84.73
223.99,82.1
224.17,79.15
224.33,79.49
224.51,79.23
224.68,80.83
224.89,85.16
225.06,85.14
225.22,84.8
225.4,84.98
225.57,85.58
225.76,84.73
225.94,84.53
226.11,83.47
226.27,84.33
226.44,84.16
226.66,80.64
226.84,84.59
227.01,84.39
227.18,84.34
227.35,85.05
227.54,83.65
227.72,84.02
227.89,84.64
228.07,85.37
228.23,87.39
228.4,87.89
228.56,91.41
228.73,92.48
228.91,90.93
229.08,90.1
229.24,86.3
229.41,85.35
229.59,85.53
229.76,84.82
229.94,84.63
230.1,82.02
230.28,80.4
230.44,80.24
230.61,79.69
230.77,80.01
230.95,83.05
231.13,86.07
231.31,85.04
231.49,85.16
231.66,85.02
231.83,84.84
232.0,83.91
232.17,84.86
232.34,82.88
232.51,84.5
232.71,81.28
232.89,83.58
233.07,84.17
233.23,81.57
233.4,80.94
233.57,82.58
233.73,83.08
233.91,84.08
234.08,85.09
234.25,88.87
234.45,91.25
234.62,91.41
234.8,92.19
234.97,95.76
235.15,94.75
235.37,81.52
235.53,84.66
235.69,84.49
235.89,84.92
236.06,84.21
236.24,84.01
236.4,82.32
236.57,81.69
236.74,83.39
236.91,82.68
237.08,80.8
237.25,85.32
237.42,84.67
237.58,85.52
237.77,84.55
237.94,85.13
238.14,84.49
238.32,84.54
238.48,85.01
238.65,84.43
238.81,83.16
239.0,81.67
239.16,83.76
239.32,83.81
239.49,82.4
239.66,81.93
239.85,84.44
240.03,86.3
240.19,86.12
240.35,84.67
240.51,84.59
